[313.74967454978605, 215.78273886800122] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[313.74967454978605, 215.78273886800122] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[313.74967454978605, 215.78273886800122] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[313.74967454978605, 215.78273886800122] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[313.74967454978605, 215.78273886800122] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[313.74967454978605, 215.78273886800122] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[313.74967454978605, 215.78273886800122] [363.55937108571817, 523.5437550867098] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[313.74967454978605, 215.78273886800122] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[316.8059895750102, 106.76736664299011] [160, 700] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[316.8059895750102, 106.76736664299011] [950, 180] [313.74967454978605, 215.78273886800122] [316.8059895750102, 106.76736664299011]
[316.8059895750102, 106.76736664299011] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[316.8059895750102, 106.76736664299011] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[316.8059895750102, 106.76736664299011] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[316.8059895750102, 106.76736664299011] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[316.8059895750102, 106.76736664299011] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[316.8059895750102, 106.76736664299011] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[316.8059895750102, 106.76736664299011] [363.55937108571817, 523.5437550867098] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[316.8059895750102, 106.76736664299011] [77.16823632612892, 431.1137357549361] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688]
[536.1940104249898, 77.23263335700987] [160, 700] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[536.1940104249898, 77.23263335700987] [950, 180] [316.8059895750102, 106.76736664299011] [536.1940104249898, 77.23263335700987]
[536.1940104249898, 77.23263335700987] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[536.1940104249898, 77.23263335700987] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[536.1940104249898, 77.23263335700987] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[536.1940104249898, 77.23263335700987] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[536.1940104249898, 77.23263335700987] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[536.1940104249898, 77.23263335700987] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[536.1940104249898, 77.23263335700987] [363.55937108571817, 523.5437550867098] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[536.1940104249898, 77.23263335700987] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[560.4268815098361, 51.60206940188617] [160, 700] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[560.4268815098361, 51.60206940188617] [950, 180] [536.1940104249898, 77.23263335700987] [560.4268815098361, 51.60206940188617]
[560.4268815098361, 51.60206940188617] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[560.4268815098361, 51.60206940188617] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[560.4268815098361, 51.60206940188617] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[560.4268815098361, 51.60206940188617] [1020, 534.8214504901371] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[560.4268815098361, 51.60206940188617] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[560.4268815098361, 51.60206940188617] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[560.4268815098361, 51.60206940188617] [363.55937108571817, 523.5437550867098] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[560.4268815098361, 51.60206940188617] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
